Town,Total,Date,Year,Month,Day,lng,lat,Population
PIROT,0,06-Mar-20,2020,3,6,22.5871,43.1617,57928
PLANDIŠTE,0,06-Mar-20,2020,3,6,21.1238,45.2292,11336
PODUJEVO,0,06-Mar-20,2020,3,6,21.1956,42.9108,
POŽAREVAC,0,06-Mar-20,2020,3,6,21.1826,44.6222,75334
POŽEGA,0,06-Mar-20,2020,3,6,20.0368,43.8459,29638
PREŠEVO,0,06-Mar-20,2020,3,6,21.65,42.3071,3080
PRIBOJ,0,06-Mar-20,2020,3,6,19.5258,43.5836,27133
PRIJEPOLJE,0,06-Mar-20,2020,3,6,19.6506,43.3903,37059
PRIŠTINA,0,06-Mar-20,2020,3,6,21.1655,42.6629,
PRIZREN,0,06-Mar-20,2020,3,6,20.7436,42.2171,
PROKUPLJE,0,06-Mar-20,2020,3,6,21.5932,43.2383,44419
RAČA,0,06-Mar-20,2020,3,6,20.979,44.2268,11503
RAŠKA,0,06-Mar-20,2020,3,6,20.6135,43.2859,24678
RAŽANJ,0,06-Mar-20,2020,3,6,21.5492,43.6744,9150
REKOVAC,0,06-Mar-20,2020,3,6,21.0958,43.8609,11055
RUMA,0,06-Mar-20,2020,3,6,19.8171,45.0079,54339
ŠABAC,0,06-Mar-20,2020,3,6,19.6876,44.7538,115884
SEČANJ,0,06-Mar-20,2020,3,6,20.7732,45.3676,13267
SENTA,0,06-Mar-20,2020,3,6,20.0789,45.9273,23316
SEVOJNO,0,06-Mar-20,2020,3,6,19.8966,43.8473,7101
ŠID,0,06-Mar-20,2020,3,6,19.2267,45.1276,34188
SJENICA,0,06-Mar-20,2020,3,6,20.0004,43.2735,26392
SMEDEREVO,0,06-Mar-20,2020,3,6,20.9258,44.6516,108209
SMEDEREVSKA PALANKA,0,06-Mar-20,2020,3,6,20.9623,44.3654,50284
SOKOBANJA,0,06-Mar-20,2020,3,6,21.8692,43.6453,16021
SOMBOR,0,06-Mar-20,2020,3,6,19.1151,45.7742,85903
SRBICA,0,06-Mar-20,2020,3,6,20.7892,42.7476,
SRBOBRAN,0,06-Mar-20,2020,3,6,19.7954,45.5481,16317
SREMSKA MITROVICA,0,06-Mar-20,2020,3,6,19.6122,44.9764,79940
SREMSKI KARLOVCI,0,06-Mar-20,2020,3,6,19.9325,45.2021,8750
STARA PAZOVA,0,06-Mar-20,2020,3,6,20.1597,44.9861,65792
ŠTIMLJE,0,06-Mar-20,2020,3,6,21.0401,42.4329,
ŠTRPCE,0,06-Mar-20,2020,3,6,21.0259,42.2406,
SUBOTICA,0,06-Mar-20,2020,3,6,19.68,46.07,141554
SURDULICA,0,06-Mar-20,2020,3,6,22.1704,42.6904,20319
SUVA REKA,0,06-Mar-20,2020,3,6,20.8319,42.3625,
SVILAJNAC,0,06-Mar-20,2020,3,6,21.197,44.2383,23551
SVRLJIG,0,06-Mar-20,2020,3,6,22.1252,43.4129,14249
TEMERIN,0,06-Mar-20,2020,3,6,19.8911,45.4095,28287
TITEL,0,06-Mar-20,2020,3,6,20.2949,45.206,15738
TOPOLA,0,06-Mar-20,2020,3,6,20.6824,44.2544,22329
TRGOVIŠTE,0,06-Mar-20,2020,3,6,22.0921,42.3514,5091
TRSTENIK,0,06-Mar-20,2020,3,6,21.0025,43.6169,42966
TUTIN,0,06-Mar-20,2020,3,6,20.3334,42.99,31155
UB,0,06-Mar-20,2020,3,6,20.0762,44.4572,29101
UROŠEVAC,0,06-Mar-20,2020,3,6,21.1483,42.3702,
UŽICE,0,06-Mar-20,2020,3,6,19.8441,43.8582,78040
VALJEVO,0,06-Mar-20,2020,3,6,19.8874,44.272,90312
VARVARIN,0,06-Mar-20,2020,3,6,21.3712,43.7195,17966
VELIKA PLANA,0,06-Mar-20,2020,3,6,21.0751,44.3323,40902
VELIKO GRADIŠTE,0,06-Mar-20,2020,3,6,21.5163,44.7638,17610
VITINA,0,06-Mar-20,2020,3,6,21.359,42.3222,
VLADIČIN HAN,0,06-Mar-20,2020,3,6,22.0664,42.7082,20871
VLADIMIRCI,0,06-Mar-20,2020,3,6,19.7843,44.6158,17462
VLASOTINCE,0,06-Mar-20,2020,3,6,22.1272,42.9659,29893
VRANJE,0,06-Mar-20,2020,3,6,21.9002,42.556,83524
VRANJSKA BANJA,0,06-Mar-20,2020,3,6,21.994,42.553,9580
VRBAS,0,06-Mar-20,2020,3,6,19.6479,45.5704,42092
VRNJAČKA BANJA,0,06-Mar-20,2020,3,6,20.8956,43.6223,27527
VRŠAC,0,06-Mar-20,2020,3,6,21.2983,45.1175,52026
VUČITRN,0,06-Mar-20,2020,3,6,20.9704,42.8267,
ŽABALJ,0,06-Mar-20,2020,3,6,20.0707,45.3741,26134
ŽABARI,0,06-Mar-20,2020,3,6,21.2143,44.3562,11380
